Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
82179988,82181961,33481,34111
82182616,82184589,32935,33794
82185244,82187215,32781,34415
82187869,82189843,31851,34493
82190498,82192471,32798,34490
82197062,82199035,32762,33758
82199690,82201663,33874,34305
82202319,82204292,33649,33996
82204947,82206918,33529,33647
82207572,82209543,33192,33396
82210197,82212172,33872,34300
82212827,82214797,33217,33959
82215452,82217424,32714,33986
82218081,82220052,33197,34432
82220707,82222678,33770,34318
82223333,82225304,32755,33814
82225959,82227930,33207,33326
82228585,82230557,32518,33973
82231212,82233186,32875,31904
82233841,82235811,33876,34440
82236466,82238437,33625,33835
82242892,82244864,33453,34160
82245518,82247491,33017,34122
82248148,82250118,32652,34142
82250773,82252746,33106,34186
82253400,82255373,32596,34142
82256030,82258004,33416,33792
82258659,82260632,32869,33854
82261287,82263262,33511,33591
82263917,82265890,34036,33787
82266546,82268517,33502,34396
82269171,82271142,33519,34147
82271797,82273769,33709,34047
82274424,82276398,32926,33452
82277055,82279025,33928,33269
82279680,82281654,33200,33639
82282309,82284283,33900,34016
82284938,82286909,33300,33645
82291470,82293442,33592,33671
82294099,82296073,33818,33759
82296728,82298699,32971,34021
82299353,82301324,33116,33720
82301979,82303951,33159,33219
82304606,82306579,34061,33854
82307233,82309203,34062,34238
82309858,82311829,33610,34247
82312484,82314458,33470,34592
82315115,82317087,33587,33898
82317742,82319712,31931,34193
82320366,82322337,32749,34389
82322992,82324965,33760,34184
82325620,82327593,33320,34023
82328248,82330219,34023,34342
82330874,82332847,33487,32842
82337429,82339401,32939,33832
82340057,82342028,33754,34629
82342683,82344656,33182,34265
82345310,82347284,33578,34299
82347939,82349909,33205,33445
82350563,82352534,33926,34397
82353188,82355160,33106,34167
82355815,82357788,33091,34020
82358443,82360413,33157,33542
82361070,82363042,33612,34621
82363697,82365670,33636,33424
82366325,82368298,34030,33895
82368953,82370926,33710,33941
82371580,82373553,33827,34313
82374209,82376181,33039,33588
82376836,82378807,32681,33664
82379462,82381435,33073,34210
82386029,82388002,33232,33941
82388656,82390629,33792,33481
82391284,82393257,33339,33291
82393912,82395885,32626,34162
82396540,82398512,33168,34213
82399167,82401140,33603,34197
82401795,82403768,33078,33794
82404423,82406396,33340,33934
82407053,82409023,33794,34035
