Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
65434053,65436023,33350,34531
65437676,65439649,32279,34120
65441302,65443275,33284,33712
65444929,65446900,32899,34188
65448553,65450525,33646,33454
65452179,65454148,34014,34552
65459678,65461651,33431,34291
65463304,65465276,32394,34531
65466929,65468901,33582,33783
65470554,65472524,32147,33673
65474177,65476149,33134,33638
65477801,65479776,33315,33539
65481428,65483400,32069,34028
65485055,65487026,31791,33264
65488680,65490652,33328,34065
65492305,65494278,32587,34270
65495932,65497904,33703,34389
65499557,65501528,32566,34008
65503181,65505154,32810,34462
65506807,65508778,33966,33829
65510432,65512403,33244,32988
65514058,65516030,33068,33914
65521554,65523525,33290,33095
65525179,65527150,33514,34603
65528803,65530776,33173,33419
65532430,65534402,33428,33498
65536057,65538027,33574,33919
65539681,65541656,33072,34297
65543310,65545284,33382,34194
65546938,65548909,33573,33929
65550562,65552534,32940,34630
65554189,65556163,33802,33501
65557817,65559791,33004,33884
65561445,65563415,33705,32972
65565071,65567042,32559,34108
65568696,65570668,33079,32952
65572322,65574296,33130,33340
65575950,65577921,32835,34449
65579575,65581547,33390,33799
65587064,65589035,32759,33898
65590689,65592661,32403,33724
65594315,65596286,32153,34504
65597940,65599911,33283,34103
65601565,65603536,33602,34098
65605189,65607163,33466,33989
65608817,65610790,32994,33756
65612444,65614415,33220,32677
65616071,65618042,33437,34468
65619696,65621669,33408,33481
65623323,65625296,32177,34019
65626950,65628922,33483,33897
65630575,65632548,33399,32572
65634202,65636175,33391,34298
65637829,65639801,33298,34569
65641455,65643426,33380,33938
65648942,65650913,33878,34222
65652568,65654540,33588,33925
65656194,65658165,33950,34114
65659819,65661792,33732,33851
65663446,65665417,33022,34004
65667073,65669044,33573,34213
65670698,65672671,32642,33828
65674326,65676300,33411,34404
65677954,65679926,33010,33982
65681580,65683553,33630,34432
65685206,65687179,32756,34503
65688833,65690805,33265,33882
65692459,65694432,33131,33857
65696088,65698061,33481,34153
65699715,65701688,33590,34329
65703342,65705313,33786,34030
65706967,65708938,32802,33636
65714471,65716443,33226,33890
65718099,65720073,33547,34342
65721728,65723699,33349,33806
65725353,65727324,33873,34038
65728979,65730951,33528,33417
65732605,65734579,33224,34252
65736235,65738205,33382,34166
65739859,65741830,32974,33589
65743484,65745458,33911,33627
65747114,65749087,32899,33144
65750741,65752713,33624,34175
65754368,65756339,33566,34206
65757994,65759967,32659,33514
65761621,65763595,33114,33024
65765249,65767220,32740,34322
65768874,65770847,33630,33186
65776380,65778353,33640,33999
65780009,65781982,32677,32837
65783637,65785608,33367,33339
65787263,65789235,33137,34159
65790890,65792862,32636,34625
65794517,65796489,33359,33657
65798144,65800116,33761,33985
65801770,65803741,32849,33455
65805395,65807369,32765,33664
65809026,65810997,33561,32931
65812654,65814625,33891,33543
65816280,65818252,33539,33318
65819906,65821877,33916,33284
65823533,65825504,33333,33448
65827159,65829130,33632,34006
65830784,65832755,33976,34367
65834409,65836383,33881,33941
65841778,65843751,32594,33652
65845405,65847378,33916,34310
65849034,65851005,33045,34205
65852659,65854631,33676,34154
65856285,65858258,33884,34158
65859912,65861885,33897,34484
65863540,65865511,33037,33690
65867167,65869140,32895,33474
65870795,65872767,33466,33374
65874422,65876395,33560,33733
65878051,65880021,32249,34342
65881675,65883648,32987,33181
65885302,65887275,32274,33077
65888930,65890901,33184,33923
65892557,65894527,32974,33570
65896181,65898153,32757,34189
65899807,65901778,33311,34362
65907295,65909266,33572,33765
65910921,65912892,33331,33618
65914548,65916519,33577,33572
65918173,65920144,33488,33317
65921798,65923771,33211,33374
65925425,65927398,33630,34161
65929055,65931025,33627,34217
65932679,65934652,33397,34341
65936306,65938279,32653,33724
65939934,65941905,33810,34111
65943559,65945530,32685,34195
65947186,65949159,33495,34546
65950813,65952786,32577,34197
65954440,65956411,33310,34258
65958067,65960040,33808,34043
65961694,65963667,32838,34113
65969198,65971172,33733,34070
65972827,65974799,32301,33188
65976454,65978425,33276,33880
65980081,65982052,33448,34116
65983706,65985678,32678,34287
65987332,65989304,33183,34512
65990958,65992930,33520,34174
65994585,65996557,33330,34667
65998212,66000185,33011,33528
66001840,66003811,33568,34250
66005465,66007436,33727,33628
66009093,66011065,32953,34010
66012719,66014693,33601,33727
66016348,66018319,33824,33635
66019973,66021946,32602,34132
66023600,66025573,33874,33819
66027227,66029200,33124,33881
66034746,66036718,33320,33419
66038373,66040345,33375,34339
66042002,66043973,33577,33914
66045628,66047599,33252,33836
66049254,66051225,33361,33792
66052879,66054852,33486,33791
66056506,66058481,33355,34217
66060137,66062107,33173,34398
66063761,66065733,32846,33168
